JD_ID,Candidate_ID,Eligible,Eligibility_reason,Final_Rank_Per_JD,skills_score,experience_score,education_score,availability_score,misc_score,relocation_flag,work_visa_flag,career_gap_flag,education_gap_flag,certification_score,overqualification_flag,career_stability_flag,LLM_Justification
JD_002,CD_010_SB,YES,Cloud-native microservices + CI/CD,7,83,85,85,85,82,FALSE,TRUE,FALSE,FALSE,80,FALSE,FALSE,"9 yrs experience, strong Spring Cloud, Kafka, CI/CD, cloud systems. Good engineering depth but limited leadership."
,,,,,,,,,,,,,,,,,
JD_002,CD_006_CL,YES,Senior engineer with CI exposure,8,75,95,85,85,78,FALSE,TRUE,FALSE,FALSE,70,FALSE,FALSE,"18 yrs experience, Java + CI exposure, but limited DevOps/platform engineering depth."
,,,,,,,,,,,,,,,,,
JD_002,CD_0001,YES,ML + backend system exposure,9,80,80,85,85,80,FALSE,TRUE,FALSE,FALSE,85,FALSE,FALSE,Strong ML/backend but lacks DevOps/platform engineering focus.
,,,,,,,,,,,,,,,,,
JD_002,CD_008_ABC_UI_DEVOPS,YES,UI + cloud + DevOps hybrid profile,10,70,80,80,90,78,TRUE,TRUE,FALSE,FALSE,85,FALSE,FALSE,"UI-focused candidate with DevOps exposure (CI/CD, AWS/Azure). Not core backend/platform engineer but relevant exposure."
,,,,,,,,,,,,,,,,,
JD_006,CD_003_Cashier,YES,Best customer-facing experience,1,80,85,60,90,90,FALSE,TRUE,FALSE,FALSE,40,FALSE,FALSE,"Strong direct customer interaction, high communication skills, proven ability to handle high-volume users. Ideal for sales."
,,,,,,,,,,,,,,,,,
JD_006,CD_004_Chef,YES,Leadership + customer-facing role,2,75,90,65,85,88,FALSE,TRUE,FALSE,FALSE,40,FALSE,FALSE,"Managed teams, handled customer service, strong interpersonal skills. Good transition to sales/marketing."
,,,,,,,,,,,,,,,,,
JD_006,CD_S0016,YES,Sales-oriented profile from dataset,3,78,70,70,90,85,FALSE,TRUE,FALSE,FALSE,50,FALSE,FALSE,Existing dataset candidate with sales/customer interaction. Strong alignment with JD intent.
,,,,,,,,,,,,,,,,,
JD_006,CD_S0017,YES,Customer interaction + communication,4,76,68,70,90,84,FALSE,TRUE,FALSE,FALSE,50,FALSE,FALSE,Good communication and customer exposure. Suitable for training-based role.
,,,,,,,,,,,,,,,,,
JD_006,CD_014_MKK,YES,Entry-level + support experience,5,72,60,80,90,78,FALSE,TRUE,FALSE,FALSE,70,FALSE,FALSE,Support engineer with client interaction. Good learning mindset and adaptability.
,,,,,,,,,,,,,,,,,
JD_006,CD_S0018,YES,Junior candidate with communication potential,6,74,65,75,90,80,FALSE,TRUE,FALSE,FALSE,55,FALSE,FALSE,Moderate experience but good potential for sales training environment.
,,,,,,,,,,,,,,,,,
JD_006,CD_008_ABC_UI_DEVOPS,YES,Client-facing + presentation skills,7,70,80,85,90,82,TRUE,TRUE,FALSE,FALSE,85,FALSE,FALSE,Strong stakeholder interaction and communication. Slightly over-skilled but adaptable.
,,,,,,,,,,,,,,,,,
JD_006,CD_0002,YES,Entry-level adaptable candidate,8,68,60,85,90,75,FALSE,TRUE,FALSE,FALSE,70,FALSE,FALSE,Junior candidate suitable for training-driven role.
,,,,,,,,,,,,,,,,,
JD_006,CD_0003,YES,Fresher with learning mindset,9,65,50,85,90,75,FALSE,TRUE,FALSE,FALSE,60,FALSE,TRUE,Low experience but aligns with JD requirement of training-based hiring.
,,,,,,,,,,,,,,,,,
JD_006,CD_002_ABN,YES,Strong communication but overqualified,10,72,90,85,85,80,FALSE,TRUE,FALSE,FALSE,90,TRUE,FALSE,Strong stakeholder and communication skills but significantly overqualified.
,,,,,,,,,,,,,,,,,
JD_007,CD_003_Cashier,YES,Excellent people-facing role with strong communication,1,85,80,60,90,92,FALSE,TRUE,FALSE,FALSE,40,FALSE,FALSE,"Top match. Daily customer interaction, strong communication, energetic environment experience. Perfect for fun team culture."
,,,,,,,,,,,,,,,,,
JD_007,CD_004_Chef,YES,Team leadership + high-energy environment,2,80,85,65,85,90,FALSE,TRUE,FALSE,FALSE,40,FALSE,FALSE,"Managed teams in high-pressure environments, strong collaboration and interpersonal skills."
,,,,,,,,,,,,,,,,,
JD_007,CD_S0016,YES,Sales/customer-oriented candidate,3,82,70,70,90,88,FALSE,TRUE,FALSE,FALSE,50,FALSE,FALSE,"Good communication, customer-facing exposure, and adaptability."
,,,,,,,,,,,,,,,,,
JD_007,CD_S0017,YES,Strong communication + team interaction,4,80,68,70,90,87,FALSE,TRUE,FALSE,FALSE,50,FALSE,FALSE,Good team interaction and communication skills suitable for sales culture.
,,,,,,,,,,,,,,,,,
JD_007,CD_S0018,YES,Junior with high adaptability,5,78,65,75,90,85,FALSE,TRUE,FALSE,FALSE,55,FALSE,FALSE,"Good learning attitude and flexibility, suitable for training-based role."
,,,,,,,,,,,,,,,,,
JD_007,CD_014_MKK,YES,Support role with client interaction,6,75,60,80,90,82,FALSE,TRUE,FALSE,FALSE,70,FALSE,FALSE,Handled support tickets and customer interaction. Good entry-level adaptability.
,,,,,,,,,,,,,,,,,
JD_007,CD_0002,YES,Entry-level adaptable candidate,7,72,60,85,90,80,FALSE,TRUE,FALSE,FALSE,70,FALSE,FALSE,Junior candidate with good learning mindset and adaptability.
,,,,,,,,,,,,,,,,,
JD_007,CD_0003,YES,Fresher suitable for training environment,8,70,50,85,90,80,FALSE,TRUE,FALSE,FALSE,60,FALSE,TRUE,No experience but aligns well with training-focused hiring.
,,,,,,,,,,,,,,,,,
JD_007,CD_008_ABC_UI_DEVOPS,YES,Client-facing + presentation skills,9,75,75,85,90,82,TRUE,TRUE,FALSE,FALSE,85,TRUE,FALSE,Strong communication and collaboration but slightly overqualified.
,,,,,,,,,,,,,,,,,
JD_007,CD_008_KU,YES,Team collaboration + communication,10,72,75,85,85,80,FALSE,TRUE,FALSE,FALSE,80,FALSE,FALSE,"Good teamwork and communication, adaptable to non-technical role."
,,,,,,,,,,,,,,,,,
JD_009,CD_009_LBC,YES,Strong leadership + enterprise delivery,1,85,100,90,85,95,FALSE,TRUE,FALSE,FALSE,95,TRUE,FALSE,"17 yrs leadership, stakeholder mgmt, strategy execution. Closest to director-level role."
,,,,,,,,,,,,,,,,,
JD_009,CD_007_KL,YES,CTO with strategy and growth exposure,2,88,100,85,85,95,FALSE,TRUE,FALSE,FALSE,90,TRUE,FALSE,"Led multi-region teams, strong GTM and product strategy exposure."
,,,,,,,,,,,,,,,,,
JD_009,CD_002_ABN,YES,Data strategy + business insights,3,80,100,90,85,90,FALSE,TRUE,FALSE,FALSE,95,TRUE,FALSE,"Strong analytics-driven strategy, stakeholder collaboration, KPI-driven planning."
,,,,,,,,,,,,,,,,,
JD_009,CD_011_TB,YES,Architect with enterprise planning exposure,4,75,100,85,85,88,FALSE,TRUE,FALSE,FALSE,85,TRUE,FALSE,Strong stakeholder mgmt and system-level planning.
,,,,,,,,,,,,,,,,,
JD_009,CD_006_CL,YES,Senior engineer with leadership exposure,5,70,95,85,85,80,FALSE,TRUE,FALSE,FALSE,70,FALSE,FALSE,Leadership + coordination but limited business strategy.
,,,,,,,,,,,,,,,,,
JD_009,CD_008_KU,YES,Mid-level leadership exposure,6,65,85,90,85,78,FALSE,TRUE,FALSE,FALSE,80,FALSE,FALSE,Some leadership and delivery experience.
,,,,,,,,,,,,,,,,,
JD_009,CD_010_SB,YES,Enterprise system exposure,7,60,85,85,85,75,FALSE,TRUE,FALSE,FALSE,80,FALSE,FALSE,Technical but limited strategy exposure.
,,,,,,,,,,,,,,,,,
JD_009,CD_0001,YES,Analytics + business exposure,8,65,80,85,85,75,FALSE,TRUE,FALSE,FALSE,85,FALSE,FALSE,Data-driven thinking but junior.
,,,,,,,,,,,,,,,,,
JD_009,CD_008_ABC_UI_DEVOPS,YES,Client-facing + communication,9,60,80,85,90,75,TRUE,TRUE,FALSE,FALSE,85,FALSE,FALSE,Good communication but lacks business scale.
,,,,,,,,,,,,,,,,,
JD_009,CD_003_Cashier,YES,Customer understanding baseline,10,50,80,60,90,70,FALSE,TRUE,FALSE,FALSE,40,FALSE,FALSE,Customer-facing but no strategy exposure.
,,,,,,,,,,,,,,,,,
JD_011,CD_003_Cashier,YES,Direct customer service experience,1,90,85,60,90,95,FALSE,TRUE,FALSE,FALSE,40,FALSE,FALSE,"Perfect match. Cash handling, customer interaction, high-volume service."
,,,,,,,,,,,,,,,,,
JD_011,CD_004_Chef,YES,Restaurant experience,2,85,90,65,85,90,FALSE,TRUE,FALSE,FALSE,40,FALSE,FALSE,Worked in fast-paced kitchen and customer environment.
,,,,,,,,,,,,,,,,,
JD_011,CD_014_MKK,YES,Customer support + operations,3,75,60,80,90,80,FALSE,TRUE,FALSE,FALSE,70,FALSE,FALSE,Support experience with client interaction.
,,,,,,,,,,,,,,,,,
JD_011,CD_0002,YES,Entry-level adaptable,4,70,60,85,90,75,FALSE,TRUE,FALSE,FALSE,70,FALSE,FALSE,Suitable for training role.
,,,,,,,,,,,,,,,,,
JD_011,CD_0003,YES,Fresher,5,65,50,85,90,75,FALSE,TRUE,FALSE,FALSE,60,FALSE,TRUE,Fits part-time/student profile.
,,,,,,,,,,,,,,,,,
JD_011,CD_S0016,YES,Customer interaction,6,75,70,70,90,80,FALSE,TRUE,FALSE,FALSE,50,FALSE,FALSE,Sales/customer exposure.
,,,,,,,,,,,,,,,,,
JD_011,CD_S0017,YES,Communication skills,7,74,68,70,90,78,FALSE,TRUE,FALSE,FALSE,50,FALSE,FALSE,Moderate fit.
,,,,,,,,,,,,,,,,,
JD_011,CD_S0018,YES,Junior adaptable,8,72,65,75,90,78,FALSE,TRUE,FALSE,FALSE,55,FALSE,FALSE,Good learning attitude.
,,,,,,,,,,,,,,,,,
JD_011,CD_008_ABC_UI_DEVOPS,YES,Customer interaction exposure,9,65,75,85,90,75,TRUE,TRUE,FALSE,FALSE,85,TRUE,FALSE,Overqualified but adaptable.
,,,,,,,,,,,,,,,,,
JD_011,CD_008_KU,YES,Team collaboration,10,60,75,85,85,75,FALSE,TRUE,FALSE,FALSE,80,FALSE,FALSE,Basic fit.
,,,,,,,,,,,,,,,,,
JD_012,CD_004_Chef,YES,Direct chef experience,1,95,95,65,85,95,FALSE,TRUE,FALSE,FALSE,60,FALSE,FALSE,"Perfect match. Extensive culinary experience, team leadership, kitchen operations."
,,,,,,,,,,,,,,,,,
JD_012,CD_003_Cashier,YES,Food industry exposure,2,60,80,60,90,75,FALSE,TRUE,FALSE,FALSE,40,FALSE,FALSE,Restaurant exposure but not cooking role.
,,,,,,,,,,,,,,,,,
JD_012,CD_014_MKK,YES,Operational support exposure,3,50,60,80,90,70,FALSE,TRUE,FALSE,FALSE,70,FALSE,FALSE,No cooking but adaptable.
,,,,,,,,,,,,,,,,,
JD_012,CD_0002,YES,Entry-level,4,55,60,85,90,70,FALSE,TRUE,FALSE,FALSE,70,FALSE,FALSE,Can be trained.
,,,,,,,,,,,,,,,,,
JD_012,CD_0003,YES,Fresher,5,50,50,85,90,70,FALSE,TRUE,FALSE,FALSE,60,FALSE,TRUE,Training candidate.
,,,,,,,,,,,,,,,,,
JD_012,CD_S0016,YES,General work exposure,6,50,65,70,90,70,FALSE,TRUE,FALSE,FALSE,50,FALSE,FALSE,Weak alignment.
,,,,,,,,,,,,,,,,,
JD_012,CD_S0017,YES,General role,7,50,60,70,90,68,FALSE,TRUE,FALSE,FALSE,50,FALSE,FALSE,Weak fit.
,,,,,,,,,,,,,,,,,
JD_012,CD_S0018,YES,Junior,8,48,60,75,90,68,FALSE,TRUE,FALSE,FALSE,55,FALSE,FALSE,Trainable.
,,,,,,,,,,,,,,,,,
JD_012,CD_008_ABC_UI_DEVOPS,YES,Overqualified,9,40,75,85,90,60,TRUE,TRUE,FALSE,FALSE,85,TRUE,FALSE,Not relevant domain.
,,,,,,,,,,,,,,,,,
JD_012,CD_008_KU,YES,Not relevant domain,10,40,75,85,85,60,FALSE,TRUE,FALSE,FALSE,80,FALSE,FALSE,Tech background not aligned.
,,,,,,,,,,,,,,,,,
JD_003,CD_009_LBC,YES,Strong architect + leadership + DevOps,1,95,100,90,85,95,FALSE,TRUE,FALSE,FALSE,95,FALSE,FALSE,"17 yrs architect, microservices, cloud, DevOps, team leadership. Ideal Principal Engineer."
,,,,,,,,,,,,,,,,,
JD_003,CD_011_TB,YES,Enterprise architect with CI/CD transformation,2,93,100,85,85,92,FALSE,TRUE,FALSE,FALSE,85,FALSE,FALSE,"18 yrs architect, CI/CD optimization, Azure, strong system leadership."
,,,,,,,,,,,,,,,,,
JD_003,CD_013_ARB,YES,Systems programming + deep technical expertise,3,90,100,90,85,90,FALSE,TRUE,FALSE,FALSE,80,FALSE,FALSE,"19 yrs low-level systems, strong technical depth, moderate leadership."
,,,,,,,,,,,,,,,,,
JD_003,CD_002_ABN,YES,Data platform leader + DevOps exposure,4,88,100,90,85,88,FALSE,TRUE,FALSE,FALSE,95,FALSE,FALSE,Strong data platform + CI/CD + leadership.
,,,,,,,,,,,,,,,,,
JD_003,CD_007_KL,YES,CTO with platform leadership,5,90,100,85,85,90,FALSE,TRUE,FALSE,FALSE,90,TRUE,FALSE,Strong but slightly product-focused vs infra-heavy role.
,,,,,,,,,,,,,,,,,
JD_003,CD_006_CL,YES,Senior engineer with leadership exposure,6,80,95,85,85,80,FALSE,TRUE,FALSE,FALSE,70,FALSE,FALSE,Leadership + backend experience but limited cloud-native exposure.
,,,,,,,,,,,,,,,,,
JD_003,CD_010_SB,YES,Cloud-native microservices engineer,7,85,85,85,85,85,FALSE,TRUE,FALSE,FALSE,80,FALSE,FALSE,Strong distributed systems but lacks leadership depth.
,,,,,,,,,,,,,,,,,
JD_003,CD_008_KU,YES,Mid-level DevOps + backend exposure,8,80,85,90,85,80,FALSE,TRUE,FALSE,FALSE,80,FALSE,FALSE,CI/CD + Kubernetes but insufficient years.
,,,,,,,,,,,,,,,,,
JD_003,CD_0001,YES,ML + backend systems exposure,9,78,80,85,85,78,FALSE,TRUE,FALSE,FALSE,85,FALSE,FALSE,Strong but too junior.
,,,,,,,,,,,,,,,,,
JD_003,CD_010_MKK,YES,Cloud support exposure,10,70,60,80,90,70,FALSE,TRUE,FALSE,FALSE,70,FALSE,FALSE,Entry-level cloud but insufficient leadership.
,,,,,,,,,,,,,,,,,
JD_004,CD_009_LBC,YES,Strong banking + microservices + leadership,1,95,100,90,85,95,FALSE,TRUE,FALSE,FALSE,95,FALSE,FALSE,"DBS banking, microservices, team leadership, ideal fintech lead."
,,,,,,,,,,,,,,,,,
JD_004,CD_008_KU,YES,Banking backend + CI/CD experience,2,88,85,90,85,88,FALSE,TRUE,FALSE,FALSE,80,FALSE,FALSE,"DBS + Thomson Reuters, strong backend + pipeline setup."
,,,,,,,,,,,,,,,,,
JD_004,CD_010_SB,YES,Microservices + distributed systems,3,85,85,85,85,85,FALSE,TRUE,FALSE,FALSE,80,FALSE,FALSE,Strong API + Kafka + cloud systems.
,,,,,,,,,,,,,,,,,
JD_004,CD_006_CL,YES,Banking + integration systems,4,80,95,85,85,82,FALSE,TRUE,FALSE,FALSE,70,FALSE,FALSE,"UOB + Travel systems, strong backend."
,,,,,,,,,,,,,,,,,
JD_004,CD_002_ABN,YES,Financial data systems,5,82,100,90,85,85,FALSE,TRUE,FALSE,FALSE,95,FALSE,FALSE,Strong financial analytics but less transactional systems.
,,,,,,,,,,,,,,,,,
JD_004,CD_011_TB,YES,Architecture + enterprise banking systems,6,80,100,85,85,85,FALSE,TRUE,FALSE,FALSE,85,FALSE,FALSE,Strong but infra-focused.
,,,,,,,,,,,,,,,,,
JD_004,CD_007_KL,YES,CTO with platform experience,7,85,100,85,85,85,FALSE,TRUE,FALSE,FALSE,90,TRUE,FALSE,Strong but too strategic.
,,,,,,,,,,,,,,,,,
JD_004,CD_013_ARB,YES,System-level expertise,8,78,100,90,85,80,FALSE,TRUE,FALSE,FALSE,80,FALSE,FALSE,Strong but not fintech domain aligned.
,,,,,,,,,,,,,,,,,
JD_004,CD_0001,YES,Backend + ML exposure,9,75,80,85,85,75,FALSE,TRUE,FALSE,FALSE,85,FALSE,FALSE,Limited banking exposure.
,,,,,,,,,,,,,,,,,
JD_004,CD_010_MKK,YES,Cloud/network exposure,10,70,60,80,90,70,FALSE,TRUE,FALSE,FALSE,70,FALSE,FALSE,"Support role, weak fit."
,,,,,,,,,,,,,,,,,
JD_005,CD_0001,YES,Strong ML + infra + tooling,1,95,90,88,85,92,FALSE,TRUE,FALSE,FALSE,85,FALSE,FALSE,Best match: ML + distributed systems + tools.
,,,,,,,,,,,,,,,,,
JD_005,CD_009_LBC,YES,AI + microservices + cloud,2,90,100,90,85,90,FALSE,TRUE,FALSE,FALSE,95,FALSE,FALSE,Strong infra + AI exposure.
,,,,,,,,,,,,,,,,,
JD_005,CD_010_SB,YES,Cloud-native + distributed systems,3,88,85,85,85,88,FALSE,TRUE,FALSE,FALSE,80,FALSE,FALSE,Kafka + Spring Cloud + CI/CD.
,,,,,,,,,,,,,,,,,
JD_005,CD_008_KU,YES,CI/CD + cloud infra,4,85,85,90,85,85,FALSE,TRUE,FALSE,FALSE,80,FALSE,FALSE,Good infra but less ML.
,,,,,,,,,,,,,,,,,
JD_005,CD_002_ABN,YES,Data + AI + pipelines,5,85,100,90,85,88,FALSE,TRUE,FALSE,FALSE,95,FALSE,FALSE,Strong analytics but less agentic ML.
,,,,,,,,,,,,,,,,,
JD_005,CD_011_TB,YES,Infra + CI/CD optimization,6,80,100,85,85,85,FALSE,TRUE,FALSE,FALSE,85,FALSE,FALSE,Strong infra but no ML.
,,,,,,,,,,,,,,,,,
JD_005,CD_007_KL,YES,AI + platform leadership,7,85,100,85,85,85,FALSE,TRUE,FALSE,FALSE,90,TRUE,FALSE,Strong but less hands-on.
,,,,,,,,,,,,,,,,,
JD_005,CD_006_CL,YES,Backend + CI/CD exposure,8,75,95,85,85,75,FALSE,TRUE,FALSE,FALSE,70,FALSE,FALSE,Limited ML exposure.
,,,,,,,,,,,,,,,,,
JD_005,CD_010_MKK,YES,Cloud + support exposure,9,70,60,80,90,70,FALSE,TRUE,FALSE,FALSE,70,FALSE,FALSE,Entry-level fit.
,,,,,,,,,,,,,,,,,
JD_005,CD_0002,YES,Junior ML candidate,10,70,60,85,90,70,FALSE,TRUE,FALSE,FALSE,70,FALSE,FALSE,Basic ML exposure.
,,,,,,,,,,,,,,,,,
JD_007,CD_003_Cashier,YES,Excellent people-facing role with strong communication,1,85,80,60,90,92,FALSE,TRUE,FALSE,FALSE,40,FALSE,FALSE,"Top match. Daily customer interaction, strong communication, energetic environment experience. Perfect for fun team culture."
,,,,,,,,,,,,,,,,,
JD_007,CD_004_Chef,YES,Team leadership + high-energy environment,2,80,85,65,85,90,FALSE,TRUE,FALSE,FALSE,40,FALSE,FALSE,"Managed teams in high-pressure environments, strong collaboration and interpersonal skills."
,,,,,,,,,,,,,,,,,
JD_007,CD_S0016,YES,Sales/customer-oriented candidate,3,82,70,70,90,88,FALSE,TRUE,FALSE,FALSE,50,FALSE,FALSE,"Good communication, customer-facing exposure, and adaptability."
,,,,,,,,,,,,,,,,,
JD_007,CD_S0017,YES,Strong communication + team interaction,4,80,68,70,90,87,FALSE,TRUE,FALSE,FALSE,50,FALSE,FALSE,Good team interaction and communication skills suitable for sales culture.
,,,,,,,,,,,,,,,,,
JD_007,CD_S0018,YES,Junior with high adaptability,5,78,65,75,90,85,FALSE,TRUE,FALSE,FALSE,55,FALSE,FALSE,"Good learning attitude and flexibility, suitable for training-based role."
,,,,,,,,,,,,,,,,,
JD_007,CD_014_MKK,YES,Support role with client interaction,6,75,60,80,90,82,FALSE,TRUE,FALSE,FALSE,70,FALSE,FALSE,Handled support tickets and customer interaction. Good entry-level adaptability.
,,,,,,,,,,,,,,,,,
JD_007,CD_0002,YES,Entry-level adaptable candidate,7,72,60,85,90,80,FALSE,TRUE,FALSE,FALSE,70,FALSE,FALSE,Junior candidate with good learning mindset and adaptability.
,,,,,,,,,,,,,,,,,
JD_007,CD_0003,YES,Fresher suitable for training environment,8,70,50,85,90,80,FALSE,TRUE,FALSE,FALSE,60,FALSE,TRUE,No experience but aligns well with training-focused hiring.
,,,,,,,,,,,,,,,,,
JD_007,CD_008_ABC_UI_DEVOPS,YES,Client-facing + presentation skills,9,75,75,85,90,82,TRUE,TRUE,FALSE,FALSE,85,TRUE,FALSE,Strong communication and collaboration but slightly overqualified.
,,,,,,,,,,,,,,,,,
JD_007,CD_008_KU,YES,Team collaboration + communication,10,72,75,85,85,80,FALSE,TRUE,FALSE,FALSE,80,FALSE,FALSE,"Good teamwork and communication, adaptable to non-technical role."
,,,,,,,,,,,,,,,,,
JD_006,CD_003_Cashier,YES,Best customer-facing experience,1,80,85,60,90,90,FALSE,TRUE,FALSE,FALSE,40,FALSE,FALSE,"Strong direct customer interaction, high communication skills, proven ability to handle high-volume users. Ideal for sales."
,,,,,,,,,,,,,,,,,
JD_006,CD_004_Chef,YES,Leadership + customer-facing role,2,75,90,65,85,88,FALSE,TRUE,FALSE,FALSE,40,FALSE,FALSE,"Managed teams, handled customer service, strong interpersonal skills. Good transition to sales/marketing."
,,,,,,,,,,,,,,,,,
JD_006,CD_S0016,YES,Sales-oriented profile from dataset,3,78,70,70,90,85,FALSE,TRUE,FALSE,FALSE,50,FALSE,FALSE,Existing dataset candidate with sales/customer interaction. Strong alignment with JD intent.
,,,,,,,,,,,,,,,,,
JD_006,CD_S0017,YES,Customer interaction + communication,4,76,68,70,90,84,FALSE,TRUE,FALSE,FALSE,50,FALSE,FALSE,Good communication and customer exposure. Suitable for training-based role.
,,,,,,,,,,,,,,,,,
JD_006,CD_014_MKK,YES,Entry-level + support experience,5,72,60,80,90,78,FALSE,TRUE,FALSE,FALSE,70,FALSE,FALSE,Support engineer with client interaction. Good learning mindset and adaptability.
,,,,,,,,,,,,,,,,,
JD_006,CD_S0018,YES,Junior candidate with communication potential,6,74,65,75,90,80,FALSE,TRUE,FALSE,FALSE,55,FALSE,FALSE,Moderate experience but good potential for sales training environment.
,,,,,,,,,,,,,,,,,
JD_006,CD_008_ABC_UI_DEVOPS,YES,Client-facing + presentation skills,7,70,80,85,90,82,TRUE,TRUE,FALSE,FALSE,85,FALSE,FALSE,Strong stakeholder interaction and communication. Slightly over-skilled but adaptable.
,,,,,,,,,,,,,,,,,
JD_006,CD_0002,YES,Entry-level adaptable candidate,8,68,60,85,90,75,FALSE,TRUE,FALSE,FALSE,70,FALSE,FALSE,Junior candidate suitable for training-driven role.
,,,,,,,,,,,,,,,,,
JD_006,CD_0003,YES,Fresher with learning mindset,9,65,50,85,90,75,FALSE,TRUE,FALSE,FALSE,60,FALSE,TRUE,Low experience but aligns with JD requirement of training-based hiring.
,,,,,,,,,,,,,,,,,
JD_006,CD_002_ABN,YES,Strong communication but overqualified,10,72,90,85,85,80,FALSE,TRUE,FALSE,FALSE,90,TRUE,FALSE,Strong stakeholder and communication skills but significantly overqualified.

